ID,required language,position name,work experience,education,salary_lower_bound,salary_upper_bound,company scale,location,series level,company_name,search num
1,C++,YSBG-PC开发工程师(C++),1-3year,Bachelor,10,20,500-2000人,Guangzhou,mature (no financing need),酷狗音乐,7900000
2,C++,YSBG-C++开发工程师(游戏),1-3year,Unlimited,10,15,500-2000人,Guangzhou,mature (no financing need),酷狗音乐,7900000
3,PHP,YSBG-后端开发工程师(PHP),1-3year,Unlimited,8,11,500-2000人,Guangzhou,mature (no financing need),酷狗音乐,7900000
4,C++,YSBG-后端开发工程师(C++),unlimited,Bachelor,15,25,500-2000人,Guangzhou,mature (no financing need),酷狗音乐,7900000
5,C++,WX-高级服务器开发工程师（linuxc/c++）,3-5year,Bachelor,16,28,500-2000人,Shenzhen,listed company,迅雷,26500000
6,C++,WindowsC/C++研发工程师,3-5year,Bachelor,8,15,500-2000人,Guangzhou,listed company,蓝盾信息安全技术股份有限公司,627000
7,C++,Windows桌面开发工程师—C++,3-5year,Bachelor,8,12,15-50人,Chengdu,startup (no financing need),RUOYI,142000
8,C++,Windows软件开发工程师（C++),3-5year,Bachelor,7,12,15-50人,Chengdu,startup (no financing need),四川启程科技,151000
9,C++,Windows客户端开发工程师(Pascal、C++）,unlimited,Unlimited,6,12,15-50人,Chengdu,startup (no financing),博软软件,39100
10,C++,windows/C++,3-5year,Bachelor,10,20,150-500人,Wuhan,listed company,兆日科技,1140000
11,C++,WebRTC/C++研发工程师,3-5year,Bachelor,15,30,150-500人,Beijing,developing (A round),达闼科技,29500
12,PHP,WEB研发助理工程师（PHP）,less than 1 year,junior college,3,5,15-50人,Nanjing,startup (no financing need),南京步景网络科技有限公司,46
13,PHP,web前端研发工程师(PHP),1-3year,junior college,4,8,15-50人,Nanjing,startup (no financing need),南京步景网络科技有限公司,46
14,PHP,web开发（PHP）,3-5year,Bachelor,6,12,15-50人,Suzhou,startup (angel round),世纪威迅,452000
15,Python,web后端开发（python）,1-3year,junior college,15,20,15-50人,Shanghai,startup (angel round),犇众信息,14200
16,Python,Web工程师--（Python）,3-5year,Bachelor,18,22,50-150人,Beijing,developing (no financing need),嘉琪科技,1550000
17,Python,Web高级开发工程师(Python),3-5year,Unlimited,15,30,150-500人,Wuhan,listed company,噢易云计算,19700
18,C#,web/BI/Java/C#/.net软件开发/测试-校招,freshgraduate,Bachelor,2,3,2000人以上,Shanghai,listed company,博彦科技,1060000
19,PHP,Web、PHP开发工程师（后台为主）,1-3year,Bachelor,5,6,50-150人,Chengdu,startup (no financing),四川大榕树数据技术有限公司,29
20,C++,VC/C++,3-5year,junior college,10,15,500-2000人,Guangzhou,mature (no financing need),广州碧软,18000
21,C++,VC(C++)开发工程师,1-3year,Bachelor,8,10,150-500人,Shanghai,developing (no financing need),FX168财经集团,7130000
22,Python,UMCloud-Python后端工程师,1-3year,Bachelor,10,20,500-2000人,Shanghai,mature (C round),UCloud,1150000
23,C++,UMCloud-C++开发工程师,1-3year,Bachelor,10,20,500-2000人,Shanghai,mature (C round),UCloud,1150000
24,Python,UMCloud-校招-Python后端工程师（北京）,freshgraduate,Bachelor,10,20,500-2000人,Beijing,mature (C round),UCloud,1150000
25,Python,UMCloud-校招-Python后端工程师,freshgraduate,Bachelor,10,20,500-2000人,Shanghai,mature (C round),UCloud,1150000
26,C++,UMCloud-校招-C++开发工程师,freshgraduate,Bachelor,10,20,500-2000人,Shanghai,mature (C round),UCloud,1150000
27,C++,UC头条c++资深研发工程师[北京],3-5year,Bachelor,15,30,2000人以上,Beijing,listed company,阿里巴巴集团,10900000
28,Java,SZ-高级Java开发工程师,3-5year,Bachelor,30,60,50-150人,Shenzhen,developing (A round),广州智选网络科技有限公司,91
29,Java,SH-高级Java开发工程师,3-5year,Bachelor,30,60,50-150人,Shanghai,developing (A round),广州智选网络科技有限公司,91
30,Python,ruby/Python/NFV开发工程师（外派电信研究院）,unlimited,Bachelor,7,14,50-150人,Guangzhou,listed company,远行科技,112000
31,C++,QT/C++软件开发工程师,1-3year,junior college,8,16,15-50人,Shenzhen,startup (no financing),置辰海信,5940
32,C++,QT/C++软件开发工程师,1-3year,Bachelor,10,20,50-150人,Beijing,developing (A round),塔米智能,358000
33,C++,QT/C++开发工程师,1-3year,Bachelor,8,10,15-50人,Beijing,startup (no financing need),环宇恩维,24
34,C++,QT/C++架构师,5-10year,Bachelor,15,20,500-2000人,Xi'an,startup (no financing),Nova科技,2470000
35,Python,Python组leader,3-5year,junior college,20,25,2000人以上,Shanghai,mature (D round or over),饿了么,15600000
36,Python,Python自动化测试工程师,1-3year,Bachelor,6,8,50-150人,Chengdu,developing (B round),同方云计算,1200000
37,Python,Python资深运维开发工程师,5-10year,Bachelor,20,30,2000人以上,Shanghai,developing (B round),陆金所,11000000
38,Python,Python中级开发工程师,1-3year,Bachelor,15,17,50-150人,Shanghai,developing (A round),易路,20300000
39,Python,Python中级开发,1-3year,junior college,15,30,50-150人,Beijing,mature (C round),赤子城,616000
40,Python,Python中级开发,1-3year,junior college,15,30,50-150人,Beijing,mature (C round),赤子城,616000
41,Python,Python中级开发,1-3year,junior college,15,30,150-500人,Beijing,mature (C round),赤子城,616000
